['$91.34', '20 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/d346339372658cb0ed35966f9a4460b06c81f000/Braided-1-8ct-TDW-Diamond-Ring-in-Sterling-Silver-by-Miadora.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$279.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/4e1c425cfb19cbc8f70b56422a08b7e0b215c949/Christian-Van-Sant-Men%27s-Monarchy-Black-Dial-Watch---CV8140.jpg?imwidth=480&impolicy=medium', False, 'by Christian Van Sant']
['$1,253.52', '13 Sizes / 3 Metal Colors', 'https://ak1.ostkcdn.com/images/products/is/images/direct/ab173651cdc0cbe4c25dad649a6dca9ccd516b27/Certified-3.40Ct-Round-Cut-Diamond-Engagement-Ring-Gold-Lab-Grown.jpg?imwidth=480&impolicy=medium', False, 'by Overstock']
['$135.19', '', 'https://ak1.ostkcdn.com/images/products/24307864/L29740664.jpg?imwidth=480&impolicy=medium', True, 'by Pinctore']
['$21.19', '', 'https://ak1.ostkcdn.com/images/products/20959807/L26757769.jpg?imwidth=480&impolicy=medium', True, 'by Pinctore']
['$74.09', '2 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/8bb604ea05e0ff452caefe38bc6da65a2507349f/18-or-24-Inch-7.5-8-MM-Cultured-FW-Pearl-Single-Strand-Necklace-with-Sterling-Silver-FE-Clasp-by-Miadora.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$12.82', '5 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/7181fb6b6011a507b4eedd7e290c8962d4755171/Sterling-Silver-2-mm-Curb-Chain-Neclace-by-Roberto-Martinez.jpg?imwidth=480&impolicy=medium', True, 'by Roberto Martinez']
['$51.99', '6 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/591a98c6a6a77cd7c595c850015892eb9f076762/14k-Solid-Yellow-Gold-Filled-2.5-millimeter-Paper-Clip-Capsule-Link-Chain-Necklace-for-Women.jpg?imwidth=480&impolicy=medium', False, 'by Fremada']
['$62.54', '9 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/5ce1d6634a37d73256e3fc24961dc502b890bf53/Miadora-Baguette-%26-Square-Created-Blue-%26-White-Sapphire-Stackable-Eternity-Band-in-Sterling-Silver.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$182.39', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/f2b5d4fbc35ff129a9fa2d9de0bfa6d5b22627bd/Miadora-Sterling-Silver-3ct-TGW-Created-Moissanite-Inside-Outside-Hoop-Earrings.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$192.84', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/9571c5c4d535cc20a86da19544f805bcb2a6de6f/Eternally-Yours-4ct-DEW-Oval-Created-Moissanite-Stud-Earrings-in-Sterling-Silver.jpg?imwidth=480&impolicy=medium', True, 'by Eternally Yours']
['$88.34', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/fcff673ce118cfd58c89b71da06bd70558802a3f/Miadora-8-9mm-Cultured-Freshwater-Pearl-Strand-Necklace.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$548.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/49243592bfc06a14293a7efdb1a15db58b153c54/Miadora-14k-White-Gold-Created-Moissanite-Solitaire-Leverback-Earrings.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$79.79', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/90586c41b0c23d9c65d6078b4188b2aee24e5d14/Miadora-7-7.5mm-Multicolor-Cultured-Freshwater-Pearl-Endless-Necklace---36-in.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$85.49', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/a1b75dd365ab95931bad8d161dc0cd3991c2740b/Miadora-10k-Yellow-Gold-White-Cultured-Freshwater-Pearl-Necklace-%285.5-6mm%29.jpg?imwidth=480&impolicy=medium', False, 'by Miadora']
['$1,312.99', '11 Sizes / 3 Metal Colors', 'https://ak1.ostkcdn.com/images/products/is/images/direct/e74f5f445067857d224e7aa005d5637b17dec5b3/3Ct-Oval-Diamond-Engagement-Camellia-Ring-Gold-Lab-Grown.jpg?imwidth=480&impolicy=medium', False, 'by Overstock']
['$62.99', '13 Sizes', 'https://ak1.ostkcdn.com/images/products/is/images/direct/6f2ca50df966e65ec6e4bec821f9da97ce58f70e/Rectangular-5-5-8-ct.-Green-Amethyst---White-Topaz-Sterling-Silver-Cocktail-Ring-by-Miadora.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$39.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/ceb21aacdb99c9c3d17691dc8efc5e3859d0e28a/Juvell-Gold-Plated-Cubic-Zirconia-Popcorn-Mesh-Cuff.jpg?imwidth=480&impolicy=medium', False, 'by Juvell']
['$214.45', '', 'https://ak1.ostkcdn.com/images/products/9214631/L16384392.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$102.12', '', 'https://ak1.ostkcdn.com/images/products/4058444/L12076195.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$43.69', '2 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/a56a5a220083f191a4aa0dd239d654458d80f969/6-7-MM-Cultured-FW-Pearl-Necklace-with-Sterling-Silver-Fish-Eye-Clasp-by-Miadora.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$174.49', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/7aa434f938e47949cba57144f4bbaa357c1c1ec7/Miadora-Sterling-Silver-1-2ct-TDW-Diamond-Inside-Outside-Hoop-Earrings---18-mm-x-1.8-mm-x-18-mm.jpg?imwidth=480&impolicy=medium', False, 'by Miadora']
['$55.49', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/34b30d0b4e82a1be699918ab128e232345f57e45/Miadora-7.5-8mm-Cultured-Freshwater-Pearl-Strand-Necklace.jpg?imwidth=480&impolicy=medium', False, 'by Miadora']
['$60.79', '', 'https://ak1.ostkcdn.com/images/products/9477808/L16659472.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$13.84', '4 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/197f2bb33e38790974634e3c91c8b2baab7ccd69/Victoria-Townsend-.925-Sterling-Silver-1.0-MM-Diamond-Cut-BOX-Necklace..jpg?imwidth=480&impolicy=medium', True, 'by Victoria Townsend']
['$49.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/fb1a62f2d5cfb189a626c76839fc006bea5675b7/Juvell-GoldT-Two-Tone-Plated-Cubic-Zirconia-Heart-Bangle.jpg?imwidth=480&impolicy=medium', False, 'by Juvell']
['$35.62', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/abb4d6e915aac0a4b7152271566d7abd9fdaf55f/Miadora-4-8mm-Multi-Color-Cultured-Freshwater-Pearl-Endless-Necklace---72-in..jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$77.89', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/91136bddc84f4074077386261f03ee6fda6f8163/Miadora-Sterling-Silver-Cultured-Freshwater-Pearl-and-White-Topaz-Multi-Chain-Necklace-%2811-12-MM%29.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$55.99', '2 Lengths', 'https://ak1.ostkcdn.com/images/products/is/images/direct/d29bcd64131562ca1c165a915ae4ad438305561e/Miadora-Sterling-Silver-5-6-mm-Cultured-Freshwater-Pearl-Necklace-%2818-or-24-inch%29.jpg?imwidth=480&impolicy=medium', False, 'by Miadora']
['$78.84', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/da2f600b5cadec676f14557bf44e705ec50152e5/Miadora-5.5-6mm-Cultured-Freshwater-Pearl-Station-10k-White-Gold.jpg?imwidth=480&impolicy=medium', False, 'by Miadora']
['$32.29', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/0abb296da050c6e8d756f7b19303ca53d6d0f04b/Miadora-3-9.5mm-Multi-Color-Cultured-Freshwater-Pearl-Endless-Necklace---72-in..jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$79.49', '2 Colors', 'https://ak1.ostkcdn.com/images/products/3804500/L11864740.jpg?imwidth=480&impolicy=medium', False, 'by Miadora']
['$205.67', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/0cc90394343db5e9c52213630d8ac312048b75b6/Miadora-Sterling-Silver-5-5-8ct-TGW-Moissanite-Tennis-Bracelet.jpg?imwidth=480&impolicy=medium', True, 'by Miadora']
['$227.99', '', 'https://ak1.ostkcdn.com/images/products/is/images/direct/5e5b1fdb750df703dede315b2d05d8016437e749/1-2-cttw-Round-Cut-Diamond-Studs-White-Gold-Womens-Earrings.jpg?imwidth=480&impolicy=medium', True, 'by Overstock']
['$16.05', '4 Sizes / 8 Letters', 'https://ak1.ostkcdn.com/images/products/is/images/direct/13d9af46922ff67993d76e91dc7fd9eae6028fc8/Victoria-Townsend-Yellow-Gold-over-Sterling-Silver-and-Cubic-Zirconia-Script-Initial-Ring..jpg?imwidth=480&impolicy=medium', True, 'by Victoria Townsend']
